"x" "y"
"353" 4099419.37971974 3108605.80982198
"354" 4118759.70877396 3092869.09986656
"355" 4119790.2611934 3092330.18397483
"356" 4099596.13307131 3092460.96252037
"357" 4100681.54452523 3092391.72878147
"358" 4103157.23223505 3092776.2159179
"359" 4103823.47075541 3092394.35468734
"360" 4103823.47075541 3092394.35468734
"361" 4104906.85366124 3092178.77541928
"362" 4104906.85366124 3092178.77541928
"363" 4106051.33550841 3092042.49762613
"364" 4106051.33550841 3092042.49762613
"365" 4099630.65072343 3109055.06273182
"366" 4099630.65072343 3109055.06273182
"367" 4107642.4027308 3092165.19866437
"368" 4108049.47538656 3091808.36071702
"369" 4108049.47538656 3091808.36071702
"370" 4108801.22217744 3091873.15811407
"371" 4111847.92786556 3091974.83954573
"372" 4112613.77935903 3091547.54355272
"373" 4114572.21305231 3091826.53557833
"374" 4115619.93703926 3091509.55784009
"375" 4115949.89309999 3091532.46657715
"376" 4116119.87580689 3092932.20767173
"377" 4101102.8771354 3108028.78188616
"378" 4101102.8771354 3108028.78188616
"379" 4117082.02237018 3091646.22591505
"380" 4103835.32717361 3090980.83502603
"381" 4105198.12754505 3091691.49544207
"382" 4105198.12754505 3091691.49544207
"383" 4106276.50975809 3091242.35582042
"384" 4106309.40408685 3091349.55371346
"385" 4106699.36138949 3091064.36724349
"386" 4106699.36138949 3091064.36724349
"387" 4107773.36717016 3091150.90132875
"388" 4102503.66093451 3108053.59888789
"389" 4102503.66093451 3108053.59888789
"390" 4109287.56257556 3090887.24312183
"391" 4109287.56257556 3090887.24312183
"392" 4109287.56257556 3090887.24312183
"393" 4110479.45522675 3091008.23968712
"394" 4111334.97604956 3090852.36574192
"395" 4113622.65951211 3090731.11210618
"396" 4114634.02954711 3090871.70600397
"397" 4115397.94475638 3091069.59312755
"398" 4116307.95167374 3090527.0090045
"399" 4117093.59269994 3091019.78959018
"400" 4118154.71023483 3090462.42205826
"401" 4119132.97458452 3090039.25016489
"402" 4104361.22165082 3090069.02574517
"403" 4104683.6952208 3090717.13552499
"404" 4104683.6952208 3090717.13552499
"405" 4104794.97230161 3090209.90512362
"406" 4107259.25806418 3090164.71206718
"407" 4107259.25806418 3090164.71206718
"408" 4108737.69713171 3089633.69835019
"409" 4108737.69713171 3089633.69835019
"410" 4108737.69713171 3089633.69835019
"411" 4108737.69713171 3089633.69835019
"412" 4109087.20142367 3090353.32150916
"413" 4109087.20142367 3090353.32150916
"414" 4110145.08566914 3089642.96782569
"415" 4110307.06354897 3089732.64981926
"416" 4111015.09336682 3089535.22892336
"417" 4103956.67519006 3108297.86157861
"418" 4111749.23891324 3089537.71936706
"419" 4111749.23891324 3089537.71936706
"420" 4111749.23891324 3089537.71936706
"421" 4111749.23891324 3089537.71936706
"422" 4112458.56510197 3090134.47347688
"423" 4112744.17529866 3089558.03349088
"424" 4112705.81942831 3089482.75608062
"425" 4113902.13021373 3089298.39522269
"426" 4115415.88435434 3089470.06420932
"427" 4115948.8973585 3090085.68610234
"428" 4119984.1546053 3088996.16785828
"429" 4104658.99099245 3108558.14118018
"430" 4105418.36369778 3089067.17904597
"431" 4106296.17531056 3089317.43484923
"432" 4107281.78486969 3088922.29488852
"433" 4107281.78486969 3088922.29488852
"434" 4108126.0853594 3089516.10392081
"435" 4109019.79267995 3088928.67973563
"436" 4109019.79267995 3088928.67973563
"437" 4110445.02952402 3088623.96550806
"438" 4112443.65284931 3089131.38364994
"439" 4113367.34013729 3088625.58791904
"440" 4105852.17996965 3108107.99496463
"441" 4105852.17996965 3108107.99496463
"442" 4105852.17996965 3108107.99496463
"443" 4105852.17996965 3108107.99496463
"444" 4105852.17996965 3108107.99496463
"445" 4115028.84289588 3088672.276043
"446" 4116484.24969112 3088642.28466157
"447" 4117488.00367365 3088581.89072742
"448" 4120929.48771456 3088612.38848497
"449" 4104813.04997773 3088113.87034388
"450" 4104813.04997773 3088113.87034388
"451" 4107147.55025603 3087755.98920854
"452" 4107757.53174299 3087705.06898649
"453" 4108037.62941587 3087846.13562513
"454" 4113981.21201884 3087641.60538709
"455" 4114715.81731741 3087347.55377418
"456" 4115755.92499298 3087374.89743663
"457" 4117024.14877259 3087661.96545692
"458" 4121269.060764 3087642.79234217
"459" 4104959.03826092 3086751.98811883
"460" 4104959.03826092 3086751.98811883
"461" 4108032.00629451 3087152.30985363
"462" 4108709.92704528 3086619.99631805
"463" 4111073.85018542 3086663.80442608
"464" 4111619.47880368 3087013.82149598
"465" 4111619.47880368 3087013.82149598
"466" 4111619.47880368 3087013.82149598
"467" 4112259.37747703 3087292.14707136
"468" 4116376.58677265 3086426.25620991
"469" 4115695.13941394 3086436.46157443
"470" 4116701.40416462 3086998.91104005
"471" 4118111.03916324 3086168.21975675
"472" 4098416.1324665 3107130.57619521
"473" 4105852.31020331 3086397.32983249
"474" 4107408.47723279 3086353.02214463
"475" 4110292.93226068 3086276.47663698
"476" 4098694.7434164 3107225.72892819
"477" 4115352.0367242 3086097.52714418
"478" 4115944.55164648 3086045.27989822
"479" 4116488.32707583 3085561.35491868
"480" 4117724.07525559 3085350.31044181
"481" 4105125.79252845 3084377.5928634
"482" 4105125.79252845 3084377.5928634
"483" 4105125.79252845 3084377.5928634
"484" 4110670.20944866 3084585.02556596
"485" 4112019.23980681 3084993.76234883
"486" 4111639.63475609 3084887.14316977
"487" 4114425.31450383 3085093.32467028
"488" 4115478.1856767 3085160.87295872
"489" 4102504.72284634 3107850.31462181
"490" 4102504.72284634 3107850.31462181
"491" 4102504.72284634 3107850.31462181
"492" 4102260.34322498 3107834.46022416
"493" 4099528.88248151 3111842.76344183
"494" 4102434.61747662 3107220.4244085
"495" 4102434.61747662 3107220.4244085
"496" 4103729.13695497 3107074.83552119
"497" 4103729.13695497 3107074.83552119
"498" 4103729.13695497 3107074.83552119
"499" 4104337.47701722 3107693.52904784
"500" 4104337.47701722 3107693.52904784
"501" 4104337.47701722 3107693.52904784
"502" 4104337.47701722 3107693.52904784
"503" 4104337.47701722 3107693.52904784
"504" 4105740.11635002 3107413.2477182
"505" 4106198.00582245 3107671.0957133
"506" 4108427.52900725 3106702.39951322
"507" 4102666.78257644 3106687.34200981
"508" 4104331.91542198 3106342.83620079
"509" 4104783.13529614 3106722.11946899
"510" 4104783.13529614 3106722.11946899
"511" 4105365.04091222 3106189.90999387
"512" 4104487.62158256 3106440.93581306
"513" 4106040.3106073 3105987.49007788
"514" 4106040.3106073 3105987.49007788
"515" 4106040.3106073 3105987.49007788
"516" 4106040.3106073 3105987.49007788
"517" 4107298.92583254 3106584.63757053
"518" 4107298.92583254 3106584.63757053
"519" 4107864.75933857 3105917.42721147
"520" 4108770.76534578 3106467.79881397
"521" 4110564.65009079 3105774.69662605
"522" 4100583.09531997 3104617.61091078
"523" 4101852.86445222 3105901.55152539
"524" 4103217.95397545 3105452.37730482
"525" 4103085.80130311 3105381.15316455
"526" 4103085.80130311 3105381.15316455
"527" 4103085.80130311 3105381.15316455
"528" 4103085.80130311 3105381.15316455
"529" 4103085.80130311 3105381.15316455
"530" 4104237.48105894 3105276.08938482
"531" 4104237.48105894 3105276.08938482
"532" 4104616.49948187 3105343.3754509
