"x" "y"
"246" 4032269.70886348 2948158.23434192
"247" 4032269.70886348 2948158.23434192
"248" 4032269.70886348 2948158.23434192
"249" 4032154.88120085 2947925.10513602
"250" 4032154.88120085 2947925.10513602
"251" 4039479.05352642 2938821.39586461
"252" 4040913.35941691 2939580.97385497
"253" 4040913.35941691 2939580.97385497
"254" 4041446.11581001 2939490.56586099
"255" 4027158.95809951 2939276.52082381
"256" 4027158.95809951 2939276.52082381
"257" 4028315.0875375 2938440.07863575
"258" 4028315.0875375 2938440.07863575
"259" 4028544.42371336 2938497.52680601
"260" 4028544.42371336 2938497.52680601
"261" 4029850.00872122 2938674.91122073
"262" 4029850.00872122 2938674.91122073
"263" 4029850.00872122 2938674.91122073
"264" 4029850.00872122 2938674.91122073
"265" 4029850.00872122 2938674.91122073
"266" 4030890.45085127 2938482.89155717
"267" 4030890.45085127 2938482.89155717
"268" 4031924.1377505 2939038.16021627
"269" 4032750.35199433 2938564.71920212
"270" 4032750.35199433 2938564.71920212
"271" 4032750.35199433 2938564.71920212
"272" 4032750.35199433 2938564.71920212
"273" 4032750.35199433 2938564.71920212
"274" 4032748.62370386 2938562.7856645
"275" 4032748.62370386 2938562.7856645
"276" 4032748.62370386 2938562.7856645
"277" 4032748.62370386 2938562.7856645
"278" 4032748.62370386 2938562.7856645
"279" 4033797.70134215 2938930.95718125
"280" 4033345.53966499 2938912.29173643
"281" 4033345.53966499 2938912.29173643
"282" 4033345.53966499 2938912.29173643
"283" 4033345.53966499 2938912.29173643
"284" 4033345.53966499 2938912.29173643
"285" 4034539.78562919 2938326.10498111
"286" 4034539.78562919 2938326.10498111
"287" 4034539.78562919 2938326.10498111
"288" 4034539.78562919 2938326.10498111
"289" 4034539.78562919 2938326.10498111
"290" 4034938.57763534 2938174.65632953
"291" 4034938.57763534 2938174.65632953
"292" 4034938.57763534 2938174.65632953
"293" 4034938.57763534 2938174.65632953
"294" 4034938.57763534 2938174.65632953
"295" 4034662.59051301 2938024.21574626
"296" 4034662.59051301 2938024.21574626
"297" 4034662.59051301 2938024.21574626
"298" 4034662.59051301 2938024.21574626
"299" 4034289.39627292 2938605.02449976
"300" 4034289.39627292 2938605.02449976
"301" 4035381.34919594 2938134.26381052
"302" 4035381.34919594 2938134.26381052
"303" 4035381.34919594 2938134.26381052
"304" 4035381.34919594 2938134.26381052
"305" 4035381.34919594 2938134.26381052
"306" 4036783.75567539 2938166.17273218
"307" 4036783.75567539 2938166.17273218
"308" 4037152.75210668 2938685.54500321
"309" 4037152.75210668 2938685.54500321
"310" 4037152.75210668 2938685.54500321
"311" 4037152.75210668 2938685.54500321
"312" 4038261.27924818 2938630.94755221
"313" 4038261.27924818 2938630.94755221
"314" 4038261.27924818 2938630.94755221
"315" 4039097.90710659 2938515.61889188
"316" 4029687.66635032 2938058.90764556
"317" 4029687.66635032 2938058.90764556
"318" 4029687.66635032 2938058.90764556
"319" 4029687.66635032 2938058.90764556
"320" 4029687.66635032 2938058.90764556
"321" 4030717.66785275 2937594.80102721
"322" 4021492.91524137 2946879.27273373
"323" 4021492.91524137 2946879.27273373
"324" 4021492.91524137 2946879.27273373
"325" 4021492.91524137 2946879.27273373
"326" 4021492.91524137 2946879.27273373
"327" 4031611.49248795 2938095.58967414
"328" 4031611.49248795 2938095.58967414
"329" 4032287.04288225 2937924.15394343
"330" 4032287.04288225 2937924.15394343
"331" 4032287.04288225 2937924.15394343
"332" 4032287.04288225 2937924.15394343
"333" 4032287.04288225 2937924.15394343
"334" 4033493.48145233 2937686.07957194
"335" 4034633.7601762 2937490.56279826
"336" 4035386.02698477 2937541.57277127
